
海马爱尚	4.58万元
福仕达	4.58万元

----------- 华泰 -----------
新圣达菲	9.05万元
经典圣达菲	6.98万元
宝利格	10.97万元
路盛E70	8.97万元
特拉卡	11.77万元

----------- 黄海 -----------
黄海N2	11.28万元
旗胜V3	9.48万元
黄海挑战者	6.98万元
黄海N1S	11.88万元
大柴神	6.58万元
黄海N1	9.58万元
黄海N2S	17.58万元
瑞途	16.88万元

----------- 红旗 -----------
红旗H7	27.98万元
红旗L5	500.00万元

----------- 汇众 -----------
伊思坦纳	22.68万元

----------- 哈弗 -----------
哈弗H6	12.28万元
哈弗H9	27.28万元
哈弗H7	15.98万元
哈弗H2	9.68万元
哈弗H6 Coupe	14.28万元
哈弗H8	24.38万元
哈弗H1	7.89万元
哈弗H5	13.38万元

----------- 海格 -----------
龙威	8.18万元
海格H7V	20.88万元
御骏	7.88万元
海格H5V	24.08万元
海格H5C	31.98万元
海格H6V	70.80万元
海格H6C	21.08万元

----------- 华颂 -----------
华颂7	28.77万元

----------- 华泰新能源 -----------
iEV230	21.35万元

----------- 吉利 -----------
博越	12.98万元
博瑞	14.68万元
帝豪GS	10.88万元
远景	6.79万元
新帝豪三厢	10.08万元
吉利GX7	9.19万元
金刚三厢	4.59万元
帝豪EV	22.88万元
豪情SUV	15.29万元
熊猫	4.99万元
帝豪RS	9.48万元
吉利EC8	11.89万元
吉利TX4	20.80万元
海景	5.69万元
自由舰	4.19万元
吉利GC7	6.59万元
英伦C5	6.39万元
金刚CROSS	6.29万元
金刚财富	4.79万元
英伦C5两厢	6.29万元

----------- 金杯 -----------
金杯750	7.33万元
阁瑞斯	11.18万元
海狮	6.68万元
智尚S35	5.98万元
智尚S30	7.28万元
新海狮	8.18万元
大海狮	17.08万元
小金牛	3.58万元
小海狮X30	5.09万元
大力神	6.98万元
小海狮X30L	4.98万元
金杯T32	3.89万元
大力神K5	10.48万元
西部牛仔	4.58万元
金杯T30	3.59万元
海星A7	3.48万元
金典	6.58万元
金杯T20	3.19万元
金杯T22	3.59万元
海星A9	3.99万元

----------- 江淮 -----------
瑞风S3	8.88万元
瑞风M5	16.25万元
瑞风S2	7.68万元
瑞风M3	7.98万元
瑞风S5	10.75万元
江淮iEV6S	21.98万元
瑞风M2	8.78万元
江淮iEV5	17.98万元
瑞风	10.58万元
江淮iEV4	15.48万元
和悦	8.58万元
和悦A30	7.69万元
悦悦	4.18万元
帅铃T6	8.88万元
和悦A13	5.88万元
瑞铃	7.38万元
星锐	14.98万元
江淮K5	6.77万元

----------- 捷豹 -----------
捷豹F-PACE	89.80万元
捷豹XF	59.80万元
捷豹XE	44.80万元
捷豹XJ	127.80万元
捷豹F-TYPE	198.80万元
捷豹XF Sportbrake	63.80万元

----------- Jeep -----------
自由光	21.98万元
牧马人	40.95万元
