品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
大显（DaXian）,DX628,96.00,2016年,,,无,其他,,,,无,,2GB,4英寸以下,240*320,不支持,不支持,http://item.jd.com/10204369697.html,大显（DaXian）DX628 移动/联通2G双卡双待 老年人手机 黑色,关爱心数码专营店,23
,DX628,96.00,2016年,1月,,无,其他,,,,无,,,2.4英寸,240*320,不支持,不支持,http://item.jd.com/10146787103.html,大显（DaXian）DX628 移动/联通2G双卡双待老年人手机 金色,天探手机专营店,25
大显（DaXian）,F189,168.00,2014年,6月,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10104960041.html,大显(DaXian)  F189 移动/联通2G翻盖老人手机 双卡双待 金色,优爱特手机专营店,21
大显（DaXian）,,178.00,2015年,,,其他,其他,,,,无,,8GB,2.0英寸,320*480,30万像素,不支持,http://item.jd.com/1626394648.html,大显（DaXian） C68 电信2G 三防老人手机 军绿色,京成日盛手机专营店,274
大显（DaXian）,DX889,99.00,2015年,12月,,无,联发科（MTK),,,,无,,2GB,2.4英寸,320*480,30万像素,不支持,http://item.jd.com/10103505694.html,大显（DaXian）DX889 直板手机 移动/联通2G老人手机 黑色,关爱心数码专营店,91
大显（DaXian）,DX868,99.00,2015年,5月,,无,其他,,,,无,,,4英寸以下,240*320,不支持,不支持,http://item.jd.com/1576330328.html,大显（DaXian）DX868 移动/联通2G老人手机 双卡双待 红色,优星伟业手机专营店,193
大显（DaXian）,dx628,96.00,2016年,1月,,无,其他,,,,256MB ROM,64MB RAM,32GB,2.4英寸,其它,不支持,不支持,http://item.jd.com/10122956962.html,大显（DaXian）DX628 移动/联通2G 直板老人手机 粉红色,维信通手机专营店,179
大显（DaXian）,DX968,156.00,2015年,,,无,其他,,,,无,,8GB,2.4英寸,320*480,30万像素,不支持,http://item.jd.com/1626412297.html,大显（DaXian） DX968 移动/联通2G 三防老人手机 桔红,京成日盛手机专营店,94
,DX668,158.00,2015年,,,无,其他,,,,32MB,64MB RAM,8GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1711635662.html,大显（DaXian） DX968 移动/联通2G 三防老人手机 迷彩色,吉家祥园手机专营店,34
大显（DaXian）,DX889,99.00,2015年,,,其他,其他,,,,32MB,32MB RAM,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10090497155.html,大显(DaXian) DX889 联通/移动2G GSM老人手机 香槟金,优爱特手机专营店,84
大显（DaXian）,9500,138.00,2013年,10月,,无,联发科（MTK),,,,无,,4GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1314308201.html,大显(DaXian)I9500移动/联通2G(GSM)老人手机 黑色,雅玛亚虎手机专营店,341
大显（DaXian）,DX600,199.00,2014年,7月,,无,其他,,,,64MB ROM,128MB RAM,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1726147216.html,大显（DaXian）DX600电信 翻盖老人手机 红色,佳智时代手机专营店,14
,DX889,99.00,2015年,,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10097941943.html,大显（DaXian）DX889 移动/联通2G 老人手机 双卡双待 黑色,优星伟业手机专营店,20
大显（DaXian）,DX899,99.00,2016年,,,其他,其他,,,,32MB,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10349243981.html,大显DX889 移动/联通2g老人手机 双卡手写手机 红色,久汇手机专营店,0
大显（DaXian）,D189,69.00,2013年,,,其他,其他,,,,其它,,,其它,240*320,30万像素,不支持,http://item.jd.com/10355920892.html,大显D189 移动/联通2G 直板老人手机 黑色,久汇手机专营店,0
