品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
中兴（ZTE）,CV19,249.00,2015年,12月,,其他,Qualcomm 骁龙,,,,32MB,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10062579891.html,中兴（ZTE）ZTE-C CV19 电信2G老人手机 黑色 老年版,中兴一鼎轩专卖店,1762
中兴（ZTE）,L518,299.00,2016年,,,其他,其他,,,,32MB,,,3.0英寸,240*320,130万以下 ,不支持,http://item.jd.com/10119555347.html,中兴（ZTE）L518  移动/联通2G 翻盖男女款老人手机 典雅红,ZTE中兴伟业专卖店,540
中兴（ZTE）,G720T,618.00,2015年,,,Android 4.4,Qualcomm 骁龙,MSM8939,八核,,16GB ROM,2GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10140777023.html,中兴星星2号 (G720T) 移动4G 双卡双待 黑色,上海迪旺数码专营店,139
中兴（ZTE）,188,189.00,2015年,,,无,其他,,,,无,64MB RAM,16GB,2.0英寸,240*320,130万以下 ,不支持,http://item.jd.com/2515701.html,中兴（ZTE）乐心A188 移动/联通2G 老人手机 白色,中兴手机旗舰店,785
中兴（ZTE）,U968,288.00,2013年,,,Android 4.2,联发科（MTK),,,,4GB ROM,512MB RAM,32GB,5.5英寸,960×540(QHD),500万像素,30万像素,http://item.jd.com/1805667561.html,中兴 U968 移动3G手机 双卡双待 白色,优爱特手机专营店,437
中兴（ZTE）,L680,268.00,2015年,11月,,其他,联发科（MTK),,,,32MB,64MB RAM,16GB,2.3英寸,240*320,30万像素,不支持,http://item.jd.com/10155907424.html,中兴（ZTE）L680 移动/联通2G 老人手机 咖啡色,顶魁手机专营店,365
,N939SC,868.00,2015年,,安卓（Android）,其他,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10163109502.html,中兴威武3尊享版（N939SC） 移动联通电信4G全网通 双卡双待 智能手机 香槟金,卓瓦手机专营店,50
中兴（ZTE）,A880,499.00,2014年,10月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8916,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,800万像素,http://item.jd.com/1705250079.html,中兴(ZTE)小鲜 A880 电信4G  双卡双待 智能手机 智尚白,卓瓦手机专营店,219
中兴（ZTE）,V16,258.00,2015年,,,其他,Qualcomm 骁龙,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1605676298.html,中兴（ZTE）ZTE-C V16 电信2G老人手机 白色,中兴一鼎轩专卖店,2388
中兴（ZTE）,L580,238.00,2015年,,,其他,联发科（MTK),,单核,,32MB,64MB RAM,16GB,2.3英寸,240*320,30万像素,不支持,http://item.jd.com/1605673431.html,中兴（ZTE）L580  移动/联通2G 老人手机 红色 老年版,中兴一鼎轩专卖店,3342
中兴（ZTE）,L610,299.00,2016年,,,其他,其他,,,,32MB,,,2.3英寸,240*320,30万像素,不支持,http://item.jd.com/10313732727.html,中兴（ZTE）L610 电信2G 老人手机 红色 老年版,中兴一鼎轩专卖店,62
中兴（ZTE）,Q806T,459.00,2015年,12月,,其他,其他,,,,8GB ROM,1GB RAM,,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10127326580.html,中兴 醉享 Q806T 移动联通双4G手机  双卡双待 白色,优爱特手机专营店,116
中兴（ZTE）,CV19,249.00,2015年,12月,,无,其他,,,,32MB,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10176258411.html,中兴（ZTE）ZTE-C CV19 直板电信老人手机 黑色,久汇手机专营店,138
中兴（ZTE）,S291,599.00,2014年,5月,,Android ,Qualcomm 骁龙,,,,16GB ROM,2GB RAM,32GB,5.5英寸,其它,1300万像素,200万像素,http://item.jd.com/10078071163.html,中兴 天机 GRAND SII (S291)  移动联通4G手机 钛金灰,优爱特手机专营店,54
中兴（ZTE）,CV18,299.00,2015年,10月,,其他,其他,,,,512MB ROM,,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10083889061.html,中兴（ZTE）C V18 新款 电信3G/2G老人手机  天翼 CDMA 白色,旗帜手机专营店,401
中兴（ZTE）,B2015,1699.00,2015年,,安卓（Android）,Android ,Qualcomm 骁龙,MSM8939,八核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10116412040.html,中兴 AXON 天机 mini B2015 双卡双待4G手机 玫瑰金 移动4G,牧申数码专营店,32
中兴,L530g,199.00,2009年以前,,,无,其他,,,,无,256MB以下,8GB,2.3英寸,320×240,不支持,不支持,http://item.jd.com/1056960.html,中兴 老人机 (L530g) 黑色 移动联通2G手机,中兴手机旗舰店,22667
中兴（ZTE）,N928Dt,599.00,2015年,9月,安卓（Android）,Android 4.2,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",500万像素,200万像素,http://item.jd.com/10039619413.html,中兴（ZTE） 威武3C 移动4G手机 多如意老人智能手机 前黑后白,多如意数码专营店,128
,G720C,658.00,2015年,1月,安卓（Android）,Android 4.4,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10119549571.html,中兴星星2号 (G720C) 电信4G手机 双卡双待 智尚白,卓瓦手机专营店,59
中兴（ZTE）,L588,299.00,2015年,,,其他,其他,,,,其它,,,2.4英寸,240*320,130万以下 ,130万以下,http://item.jd.com/2679067.html,中兴（ZTE）L588 移动/联通2G 翻盖老人手机 黑色,中兴手机旗舰店,45
中兴（ZTE）,288+,199.00,2016年,,,其他,其他,,,,其它,,8GB,2.4英寸,240*320,不支持,不支持,http://item.jd.com/2699502.html,中兴（ZTE）U288+ 移动2G/联通2G 老人手机 黑色,中兴手机旗舰店,21565
中兴（ZTE）,L680,268.00,2015年,11月,,其他,联发科（MTK),,单核,,其它,64MB RAM,16GB,2.3英寸,240*320,30万像素,不支持,http://item.jd.com/10017784052.html,中兴（ZTE）L680  移动/联通2G 老人手机 儒雅黑 老年版,君可安手机专营店,1300
,G720T,689.00,2014年,,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8939,八核,,16GB ROM,2GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10129899272.html,中兴星星2号 (G720T) 联通版 移动联通双4G 双卡双待智能手机 白色,天探手机专营店,43
中兴（ZTE）,N939Sc,829.00,2015年,7月,安卓（Android）,Android ,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1802574405.html,中兴 威武3尊享版 全网通4G手机 金色 标配版,佳沪数码手机旗舰店,333
中兴（ZTE）,A880,699.00,2014年,,,Android 4.4,Qualcomm 骁龙,,,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,800万像素,http://item.jd.com/10201993581.html,中兴（ZTE）A880 电信4G/移动联通2G 双卡双待 老年版智能机 白色,多如意数码专营店,15
